Título,Autores,ISBN,Número de Páginas,Fecha de Publicación,Imagen de la Portada,Sinopsis,Géneros,Calificación de Usuarios,Número de Opiniones,saga,category,Número de Ventas
Dios emperador de Dune (Las crónicas de Dune 4),Frank Herbert,9788466357388.0,663.0,2021-10-21,http://books.google.com/books/content?id=Yh46EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Dios emperador de Dune es la cuarta entrega de la fascinante saga de ciencia ficción de Frank Herbert. Esta cuarta entrega de la saga «Dune» centra su trama en la figura mesiánica de Leto Atreides II (hijo de Paul Atreides, héroe cuya estirpe hunde sus raíces en la legendaria casa griega de los Atridas) y nos lleva, a través de diversos dilemas éticos, a comprender los mitos que necesita la humanidad y a los héroes que los encarnan. El futuro, en el mundo de Dune, pertenece solo a los que son capaces de pensar por sí mismos. Esta saga apasionante plantea por primera vez de forma completa, racional y convincente todo un mundo absolutamente diferente del nuestro. Sus referencias a los problemas ecológicos, el poder de las drogas y la fuerza de los mitos la han convertido en una obra de culto para millones de lectores en todo el mundo.",Fiction,,,Dune,Saga,794
Saga Dune 1-6. La mayor epopeya de todos los tiempos,Frank Herbert,9788466362092.0,3900.0,2021-12-02,http://books.google.com/books/content?id=uf5NEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Esta imponente edición estuche reúne los seis primeros volúmenes en edición actualizada de «Dune», la saga que se convirtió en un fenómeno de culto desde su publicación hace ya más de medio siglo. En un futuro lejano, en un planeta remoto, se libra una compleja lucha que tendrá repercusiones en toda la galaxia. En las arenas de Akarris, más conocido como Dune, aprender a sobrevivir no es suficiente... Este estuche contiene los volúmenes: 1. Dune 2. El mesías de Dune 3.Hijos de Dune 4. Dios emperador de Dune 5. Herejes de Dune 6. Casa capitular Dune Esta saga apasionante plantea por primera vez de forma completa, racional y convincente todo un mundo absolutamente diferente del nuestro. Sus referencias a los problemas ecológicos, el poder de las drogas y la fuerza de los mitos la han convertido en una obra de culto para millones de lectores en todo el mundo. Reseñas: «No conozco nada comparable, excepto El Señor de los Anillos.» Arthur C. Clarke «Es muy probable que Dune sea más vigente a día de hoy que cuando salió a la luz.» The New Yorker «Uno de los monumentos de la ciencia-ficción moderna.» The Chicago Tribune «Un fenómeno impresionante.» The Washington Post «La más gran novela de ciencia-ficción que ha habido. Star Wars no existiría sin ella.» The Guardian «Simplemente perfecta.» The New York Times",Fiction,,,Dune,Saga,994
La cruzada de las máquinas (Leyendas de Dune 2),Brian Herbert,9788401354533.0,807.0,2012-11-15,http://books.google.com/books/content?id=h4SxpQKQtnEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"La segunda entrega de la trilogía «Leyendas de Dune». El legado de Frank Herbert, el fascinante y ya mítico universo que creó en Dune, sigue vivo en esta apasionante segunda entrega de la trilogía «Leyendas de Dune». Han pasado veinticuatro años desde los sucesos relatados en Dune. La Yihad Butleriana. La revuelta de los humanos contra las máquinas pensantes tras el asesinato del hijo de Serena Butler se ha convertido en un conflicto sangriento, que se ha cobradoinnumerables vidas humanas. Vorian Atreides y Xavier Harkonnen comandan las fuerzas de la Yihad en una guerra interminable donde no hay vencedores ni vencidos. Los temibles cimek, liderados por el titán Agamenón, planean recuperar el poder que perdieron. Norma Cenva y Aurelius Venport están a punto de realizar un descubrimiento que cambiará radicalmente los viajes espaciales. Y en Arrakis, el remoto planeta de las dunas, Selim Montagusanos ysus partidarios dan los primeros pasos para convertirse en los fieros guerreros que cambiarán el curso de la historia: los fremen.",Fiction,,,Dune,Saga,843
La naturaleza de la Tierra Media,J. R. R. Tolkien,9788445012048.0,509.0,2022-03-16,http://books.google.com/books/content?id=ZfJEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Un libro con detalles de la filosofía, imaginación y subcreación de Tolkien. J.R.R. Tolkien opinaba que El Silmarillion era el fundamento para su mundo imaginado, pero a pesar de ser la obra primaria y central, no fue capaz de llevarla a su forma final, y le tocó a su hijo, Christopher, construir la última versión de un 'Silmarillion' a partir de los relatos dejados por su padre cuando éste falleció. Porque, partiendo de un mito cerrado, con un comienzo y un final, el material narrativo había llegado a adquirir una extensión enorme, con importantes personajes que emergían de los Días Antiguos, entre los cuales Galadriel era la más importante. Por lo tanto, Tolkien tuvo que realizar una gran cantidad de ""reescrituras"" para que El Silmarillion guardase una correcta relación con El Señor de los Anillos. Los escritos recogidos en La naturaleza de la Tierra Media muestran los caminos que Tolkien tomó en busca de una mejor comprensión —más precisa, completa y consistente— de su propia y singular creación. Estos escritos, de diferentes extensiones, abarcan diversos temas, tales como: *El envejecimiento y la actuación del tiempo sobre los seres inmortales y mortales de la Tierra Media, y el sorprendente grado de precisión y habilidad matemática que Tolkien aplicó para conseguir unos esquemas rigurosos en este sentido; *Asuntos fundacionales como la creación, la vida, el destino y el libre albedrío, el funcionamiento del cuerpo y el espíritu y la relación entre ambos, así como la naturaleza de la autoridad, el sentido de la vida y la muerte; *Descripciones vívidas de las tierras, los animales y los pueblos de Númenor; *Descripciones del aspecto físico de varios personajes de El Señor de los Anillos, entre ellas explicaciones de quién tenía barba y quién no. Todos estos escritos revelan nuevos e insospechados detalles de la filosofía, imaginación y subcreación de Tolkien, que resultan sorprendentes, profundos e incluso divertidos. Esta nueva colección, que ha sido editada por Carl F. Hostetter, uno de los principales expertos en Tolkien, es un auténtico tesoro que ofrece a los lectores una oportunidad de mirar sobre el hombro del Profesor Tolkien mientras iba descubriendo cosas nuevas. En cada página, la Tierra Media vuelve a cobrar vida con una fuerza extraordinaria.",Fiction,,,The Hobbit / Lord of the Rings,Saga,454
El hobbit,John Ronald Ruelen Tolkien,,360.0,1987,,,"Fantasy fiction, English",,,The Hobbit / Lord of the Rings,Saga,917
Crepúsculo. Décimo aniversario. Vida y Muerte Edición Dual,Stephenie Meyer,9786073140553.0,914.0,2015-12-03,http://books.google.com/books/content?id=f3LvCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Stephenie Meyer reinterpreta su exitosa novela 10 años más tarde. ¡Celebra el décimo aniversario de Crepúsculo! Los lectores disfrutarán de la icónica historia de amor de Bella y Edward con una perspectiva renovada. Esta edición especial conmemorativa del décimo aniversario incluye la novela original Crepúsculo, así como una reformulación de la historia completa realizada por la autora, narrada en esta ocasión a través de los ojos de un joven que se enamora de una chica vampiro. A la edición la acompaña un detallado prefacio y epílogo. Crepúsculo ha cautivado a millones de lectores desde su publicación en 2005 y se ha convertido en un clásico moderno, redefiniendo los géneros de la literatura Young Adult e inspirando un fenómeno del que los lectores ansían nuevo contenido. La novela fue número 1 de la lista de bestsellers de The New York Times y USA Today, catalogada como la Mejor Novela Young Adult de Todos los Tiempos por la revista Time, recibió un galardón NPR a la Mejor Novela Adolescente, y fue la recomendación del editor de The New York Times. La ""Saga Crepúsculo"", en la que se incluyen los títulos Crepúsculo, Luna nueva, Eclipse, Amanecer, La segunda vida de Bree Tanner y la Guía ilustrada oficial, ha vendido cerca de 155 millones de copias en todo el mundo y más de 3 millones de ejemplares solo en España.",Young Adult Fiction,5.0,1.0,Twilight,Saga,419
Harry Potter y el misterio del príncipe,"J. K. Rowling, Gemma Rovira Ortega",9788478889938.0,602.0,2006,http://books.google.com/books/content?id=A2PSngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Taitulo original: Harry Potter and the half-blood Prince""--T.p. verso.",Juvenile Fiction,3.0,1.0,Harry Potter,Saga,474
Harry Potter y el prisionero de Azkaban. Edición Slytherin / Harry Potter and the Prisoner of Azkaban Slytherin Edition,J.K. Rowling,9788418174094.0,0.0,2021-01-05,http://books.google.com/books/content?id=6mKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Siempre tendrás una casa en Hogwarts. Edición 20 aniversario de Harry Potter y el prisionero de Azkaban Deja que la clásica saga de J. K. Rowling te lleve de vuelta al Colegio Hogwarts de Magia y Hechicería. Con motivo de la celebración del 20 aniversario de la primera publicación de Harry Potter y el prisionero de Azkaban, estas irresistibles ediciones rinden homenaje al carácter noble de las cuatro casas de Hogwarts. Con nuevas ilustraciones en el interior y un diseño único para las cubiertas, obra de Levi Pinfold, ganador de la Medalla Kate Greenaway, cada uno de los libros contiene material adicional exclusivo que amplía la información sobre cada casa. Una edición única que no puedes perderte si alguna vez te has imaginado sentado bajo el Sombrero Seleccionador en el Gran Comedor de Hogwarts. ENGLISH DESCRIPTION You will always have a home at Hogwarts. The 20th Anniversary Edition of Harry Potter and the Prisoner of Azkaban Let J.K. Rowling’s classic saga take you back to Hogwarts School of Witchcraft and Wizardry. To celebrate the occasion of the 20th anniversary of the first publication of Harry Potter and the Prisoner of Azkaban, these irresistible editions pay tribute to the noble character of Hogwarts’ four houses. With new illustrations on the inside and a one-of-a-kind cover design, done by Levi Pinfold, winner of the Kate Greenaway Medal, each one of the books contains exclusive additional material that provides more information about each house. A one-of-a-kind edition you can’t miss out on if you’ve ever imagined yourself sitting under the Sorting Hat in the Great Hall at Hogwarts Castle.",Juvenile Fiction,,,Harry Potter,Saga,839
Cazadores de Dune,"Brian Herbert, Kevin J. Anderson",9788401336799.0,0.0,2008,http://books.google.com/books/content?id=pxZevgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"La nave de Duncan Idaho emprende su exótica odisea, acosada por un misterioso y aterrador enemigo. Para poder enfrentarse a él, los fugitivos necesitan hacerse más fuertes: la única alternativa es recurrir a la tecnología genética de Scytale, y así poder revivir las figuras del Dune del pasado y sus prodigiosas habilidades. No hay cabida para la derrota; el futuro de la raza humana está en sus manos",Dune (Imaginary place),,,Dune,Saga,594
Harry Potter y la cámara secreta,J. K. Rowling,9788498380132.0,287.0,2006,http://books.google.com/books/content?id=_p0DLwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,5.0,1.0,Harry Potter,Saga,267
